datetime,code,open,close,high,low,vol,amount,p_change
2012-07-18,000300,2412.06,2414.33,2420.78,2373.65,417517.0,44325490688.0,0.01
2012-07-19,000300,2407.44,2424.32,2444.06,2401.29,469490.0,47704039424.0,0.41
2012-07-20,000300,2415.71,2398.46,2423.8,2392.18,376197.0,36683624448.0,-1.07
2012-07-23,000300,2379.89,2365.43,2379.89,2357.51,323903.0,33178929152.0,-1.38
2012-07-24,000300,2353.22,2375.99,2392.35,2352.8,303100.0,31149105152.0,0.45
2012-07-25,000300,2368.38,2360.08,2381.04,2357.47,248965.0,25730598912.0,-0.67
2012-07-26,000300,2360.13,2347.49,2374.87,2344.7,313140.0,31326394368.0,-0.53
2012-07-27,000300,2353.94,2349.11,2364.98,2341.29,310905.0,33048182784.0,0.07
2012-07-30,000300,2350.78,2335.79,2367.03,2334.0,304848.0,29907972096.0,-0.57
2012-07-31,000300,2336.88,2332.92,2350.07,2329.5,320997.0,31196332032.0,-0.12
2012-08-01,000300,2332.13,2358.65,2371.12,2331.95,314208.0,31277764608.0,1.1
2012-08-02,000300,2354.07,2334.88,2358.56,2325.61,315161.0,29751166976.0,-1.01
2012-08-03,000300,2340.25,2353.74,2354.16,2329.93,297697.0,31106947072.0,0.81
2012-08-06,000300,2350.12,2385.61,2388.36,2348.12,418206.0,43686686720.0,1.35
2012-08-07,000300,2383.26,2388.87,2390.78,2379.45,382854.0,40403709952.0,0.14
2012-08-08,000300,2390.96,2389.79,2405.18,2382.82,378104.0,41340862464.0,0.04
2012-08-09,000300,2388.43,2411.7,2412.14,2378.85,356589.0,43256098816.0,0.92
2012-08-10,000300,2409.94,2399.75,2413.42,2395.91,347029.0,40699224064.0,-0.5
2012-08-13,000300,2394.5,2351.93,2394.5,2350.81,447835.0,46249676800.0,-1.99
2012-08-14,000300,2352.66,2357.02,2357.85,2324.91,398500.0,42404687872.0,0.22
2012-08-15,000300,2350.02,2331.62,2350.02,2330.15,305801.0,30332555264.0,-1.08
2012-08-16,000300,2327.91,2319.67,2335.4,2317.06,259029.0,27076003840.0,-0.51
2012-08-17,000300,2318.43,2313.48,2322.89,2295.16,260657.0,28629966848.0,-0.27
2012-08-20,000300,2294.9,2301.79,2307.41,2279.95,274020.0,27174817792.0,-0.51
2012-08-21,000300,2301.93,2313.7,2327.38,2296.55,348951.0,34757869568.0,0.52
2012-08-22,000300,2315.14,2295.59,2317.37,2285.75,317084.0,31547518976.0,-0.78
2012-08-23,000300,2298.18,2302.2,2311.65,2285.37,313353.0,33789603840.0,0.29
2012-08-24,000300,2295.68,2275.68,2299.3,2274.57,318695.0,32986337280.0,-1.15
